director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,budget,title_year,imdb_score
Guillermo del Toro,120,Selma Blair,75754670122008, Action | Adventure | Fantasy | Horror | Sci-Fi,Ron Perlman,Hellboy II: The Golden Army,Doug Jones,elf|superhero|demon|occult detective|based on comic book,85000000,2008,7.0
Pete Travis,90,Forest Whitaker,72266306182008, Crime | Drama | Mystery | Thriller,Dennis Quaid,Vantage Point,Matthew Fox,multiple perspectives|president|shooting|explosion|secret service,40000000,2008,6.6
Mark Waters,96107,Sarah Bolger,7114869922008, Adventure | Family | Fantasy,Freddie Highmore,The Spiderwick Chronicles,David Strathairn,strong female character|female fencer|brownie the creature|magical creature|family relationships,90000000,2008,6.6
Andy Tennant,112,Kate Hudson,70224196232008, Action | Adventure | Comedy | Romance | Thriller,Matthew McConaughey,Fool's Gold,Donald Sutherland,treasure|rapper|debt|treasure hunter|yacht,70000000,2008,5.7
Gabriele Muccino,123,Rosario Dawson,69951824232009, Drama | Romance,Will Smith,Seven Pounds,Woody Harrelson,redemption|heart|organ donor|boyfriend girlfriend relationship|main character dies,55000000,2008,7.7
David Wain,99101,Seann William Scott,67266300232009, Comedy,Paul Rudd,Role Models,Elizabeth Banks,big brother|community service|absent father|peter pan syndrome|live action role playing,28000000,2008,6.9
M. Night Shyamalan,91,Zooey Deschanel,64505912122008, Sci-Fi | Thriller,Mark Wahlberg,The Happening,John Leguizamo,nature|science teacher|man vs nature|park|teacher,48000000,2008,5.0
Nicholas Stoller,111118,Jason Segel,6287717542008, Comedy | Drama | Romance,Kristen Bell,Forgetting Sarah Marshall,Paul Rudd,hawaii|male full frontal nudity|breakup|resort|hotel,30000000,2008,7.2
Ethan Coen,96,Frances McDormand,60338891192008, Comedy | Drama,Brad Pitt,Burn After Reading,George Clooney,memoir|gym|cia|embassy|divorce,37000000,2008,7.0
Michael McCullers,,Amy Poehler,60269340182008, Comedy | Romance,Tina Fey,Baby Mama,Sigourney Weaver,male anorexia|baby|book|cartoon on tv|female protagonist,30000000,2008,6.0
Jon M. Chu,98,Briana Evigan,58006147162008, Drama | Music | Musical | Romance,Robert Hoffman,Step Up 2: The Streets,Cassie Ventura,dance|student|audition|kissing in the rain|subway,17500000,2008,6.2
David Hackl,9295,Costas Mandylor,5672997352008, Horror | Mystery,Scott Patterson,Saw V,Tobin Bell,jigsaw|serial killer|blood splatter|swastika tattoo|nazi,10800000,2008,5.8
Bryan Bertino,8688,Liv Tyler,52534295182008, Horror | Mystery | Thriller,Scott Speedman,The Strangers,Gemma Ward,fear|stranger|wedding reception|scene of the crime|masked intruder,10000000,2008,6.2
Sam Fell,93,Emma Watson,50818750272009, Adventure | Animation | Comedy | Family | Fantasy,Matthew Broderick,The Tale of Despereaux,Dustin Hoffman,mouse|dream|book|dungeon|darkness,60000000,2008,6.1
Baz Luhrmann,165,Hugh Jackman,49551662202009, Adventure | Drama | Romance | War,Nicole Kidman,Australia,Shea Adams,cattle|australia|darwin|japanese|drover,130000000,2008,6.6
Fred Wolf,97,Colin Hanks,48237389102008, Comedy | Romance,Anna Faris,The House Bunny,Emma Stone,playboy|sorority|playboy mansion|party|makeover,25000000,2008,5.5
Jennifer Flackett,96,Gerard Butler,48006503222008, Adventure | Comedy | Family | Fantasy,Jodie Foster,Nim's Island,Abigail Breslin,island|girl|author|reading|scientist,37000000,2008,6.0
Paul Weiland,101,Michelle Monaghan,46012734272008, Comedy | Romance,Patrick Dempsey,Made of Honor,Kevin McKidd,friend|maid|maid of honor|marriage|party,40000000,2008,5.8
Roger Kumble,83,Martin Lawrence,45588608252008, Adventure | Comedy | Drama | Family,Raven-Symoné,College Road Trip,Kym Whitley,college entrance|washington d.c.|road trip|high school|highway travel,,2008,4.2
Sanaa Hamri,119,Alexis Bledel,4408738772008, Comedy | Drama | Family | Romance,America Ferrera,The Sisterhood of the Traveling Pants 2,Amber Tamblyn,drawing|friendship|turkey|pregnancy|actor,,2008,6.2
Lana Wachowski,135,Matthew Fox,4392934112008, Action | Family | Sci-Fi | Sport,Emile Hirsch,Speed Racer,Christina Ricci,based on cartoon|gadget car|based on anime|speed|race,120000000,2008,6.1
Nelson McCormick,8889,Scott Porter,43818159232008, Horror | Mystery,Brittany Snow,Prom Night,Jessica Stroup,friend|prom|hotel|murder|killer,20000000,2008,3.9
Sylvester Stallone,92998016,Julie Benz,42724402212008, Action | Thriller | War,Sylvester Stallone,Rambo,Matthew Marsden,rambo|missionary|burma|boat|mercenary,50000000,2008,7.1
Malcolm D. Lee,,Louis C.K.,42168445282008, Comedy | Drama | Romance,Martin Lawrence,"Welcome Home, Roscoe Jenkins",James Earl Jones,talk show host|african american protagonist|comma in title|name in title|four word title,35000000,2008,5.3
Tyler Perry,,Angela Bassett,4193939222008, Comedy | Drama | Romance,Tamela J. Mann,Meet the Browns,Tyler Perry,georgia|funeral|female protagonist|cross dressing|deus ex machina,,2008,4.1
George C. Wolfe,97,Richard Gere,4184090892009, Drama | Romance,Diane Lane,Nights in Rodanthe,Christopher Meloni,inn|north carolina|death|unhappily married woman|mother,30000000,2008,6.0
John Moore,100103,Mila Kunis,4068729492009, Action | Crime | Drama | Mystery | Thriller,Mark Wahlberg,Max Payne,Beau Bridges,based on video game|police detective|ex partner|death|hallucination,35000000,2008,5.4
